id,date,source,segment,company,plan,type,nps_rating,churned,feedback
1062,2026-01-02,Email,Startup,Cendar,Free,feature_request,5,no,A shareable read-only summary link would be huge for exec buy-in.
1072,2026-01-02,Sales Call,Startup,Hearth,Pro,feature_request,6,no,Add scheduled email digests for stakeholders who won't log in.
1090,2026-01-05,Email,Enterprise,Brightloop,Starter,complaint,5,no,Why does it take so long to get value? I connected nothing useful in the first session.
1005,2026-01-08,App Store,Startup,Hearth,Starter,bug,4,no,"Mobile is basically unusable, I only check it on desktop now."
1053,2026-01-09,App Store,SMB,Vellum,Business,bug,6,no,App is painfully slow when I have more than a few hundred tickets loaded.
1020,2026-01-13,App Store,SMB,Querio,Business,praise,10,no,Surfaced an onboarding problem we had no idea was so big. Worth it for that alone.
1095,2026-01-15,Sales Call,SMB,Hearth,Pro,feature_request,5,no,Add scheduled email digests for stakeholders who won't log in.
1054,2026-01-16,Email,Mid-Market,Mapleworks,Starter,praise,10,no,"Finally I can see all our feedback in one place, game changer for our planning."
1050,2026-01-17,Email,Mid-Market,Tilo,Pro,feature_request,7,no,Can you add an export to PDF for the leadership summary?
1105,2026-01-19,Email,Enterprise,Cendar,Pro,complaint,5,yes,Too expensive for what it does at our size.
1110,2026-01-20,Email,SMB,Otterly,Free,bug,4,no,"The mobile app barely works, charts don't render."
1117,2026-01-22,Zendesk,Startup,Wavelet,Pro,bug,2,no,Dashboard takes 30+ seconds to load every morning.
1059,2026-01-24,App Store,SMB,Otterly,Starter,praise,8,no,"Finally I can see all our feedback in one place, game changer for our planning."
1091,2026-01-24,NPS Survey,Enterprise,Lumen Labs,Business,complaint,3,yes,Can't justify the cost to my founders for a tool only I use.
1030,2026-01-25,Zendesk,Mid-Market,Vellum,Business,feature_request,5,no,No Salesforce connector is a dealbreaker for us.
1133,2026-01-25,Email,Startup,Karbon,Starter,feature_request,5,no,A shareable read-only summary link would be huge for exec buy-in.
1064,2026-01-27,Zendesk,SMB,Pinewood,Business,complaint,1,yes,Why does it take so long to get value? I connected nothing useful in the first session.
1102,2026-01-27,Slack,Mid-Market,Querio,Pro,complaint,4,no,Hard to trust the prioritization when I can't see how it was calculated.
1120,2026-02-04,Slack,Startup,Cendar,Starter,feature_request,6,no,"Please add a Zendesk integration, that is where all our tickets live."
1106,2026-02-05,Email,Startup,Tessera,Starter,complaint,3,yes,We churned because the price doubled at renewal with no warning.
1142,2026-02-05,Slack,SMB,Junip,Pro,complaint,1,yes,Can't justify the cost to my founders for a tool only I use.
1097,2026-02-06,Zendesk,SMB,Wavelet,Pro,complaint,3,yes,Spent an hour just trying to understand where to start.
1138,2026-02-06,Zendesk,Mid-Market,Acme Robotics,Business,complaint,4,no,Onboarding needs serious work. My team gave up before seeing any insights.
1060,2026-02-07,Slack,Startup,Querio,Pro,complaint,4,no,Onboarding needs serious work. My team gave up before seeing any insights.
1045,2026-02-08,App Store,Mid-Market,Driftwave,Free,praise,9,no,Surfaced an onboarding problem we had no idea was so big. Worth it for that alone.
1047,2026-02-10,Zendesk,Mid-Market,Karbon,Pro,question,8,no,Does the data stay in the EU? Compliance is asking.
1061,2026-02-10,Zendesk,Mid-Market,Sandbar,Business,question,8,no,Is there a way to tag feedback manually to correct a theme?
1119,2026-02-11,Sales Call,Startup,Wavelet,Free,feature_request,8,no,No Salesforce connector is a dealbreaker for us.
